"0",NULL,"Calle_Completa","Tipo_","Nombre_Calle","Numer","DEMO","Distrito","BARCELONA","Foto","Propietario","Telefono","0","0","2017-12-27 18:59:06"
"1",NULL,"Pl Comercial_Demos",NULL,"Pl Comercial",NULL,"DEMO","Ciutat Vella","BARCELONA",NULL,NULL,NULL,"41.385867077778","2.1826310833333","2017-12-27 18:59:06"
"2",NULL,"Pl Catalunya_demo",NULL,"Pl Catalunya",NULL,"DEMO","Ciutat Vella","BARCELONA",NULL,NULL,NULL,"41.385912836111","2.1707161944444","2017-12-27 18:59:06"
"3",NULL,"C Ã€ngels",NULL,"C Ã€ngels",NULL,"DEMO","Ciutat Vella","BARCELONA",NULL,NULL,NULL,"41.38212795","2.1681865555556","2017-12-27 18:59:06"
"4",NULL,"Est de Sants",NULL,"Est de Sants",NULL,"DEMO","Sants-MontjuÃ¯c","BARCELONA",NULL,NULL,NULL,"41.379010563889","2.1404170277778","2017-12-27 18:59:06"
"5",NULL,"Av Reina Maria Cristina",NULL,"Av Reina Maria Cristina",NULL,"DEMO","Sants-MontjuÃ¯c","BARCELONA",NULL,NULL,NULL,"41.372687111111","2.1501928333333","2017-12-27 18:59:06"
"6",NULL,"Pl Gardunya",NULL,"Pl Gardunya",NULL,"DEMO","Ciutat Vella","BARCELONA",NULL,NULL,NULL,"41.381770933333","2.1706049166667","2017-12-27 18:59:06"
"7",NULL,"C Abat Safont",NULL,"C Abat Safont",NULL,"DEMO","Ciutat Vella","BARCELONA",NULL,NULL,NULL,"41.375419147222","2.1696606388889","2017-12-27 18:59:06"
"8",NULL,"C Dalmases",NULL,"C Dalmases",NULL,"DEMO","SarriÃ -Sant Gervasi","BARCELONA",NULL,NULL,NULL,"41.403545366667","2.1300225","2017-12-27 18:59:06"
"9",NULL,"G.V. Corts Catalanes",NULL,"G.V. Corts Catalanes",NULL,"DEMO","Eixample","BARCELONA",NULL,NULL,NULL,"41.376343941667","2.1513173333333","2017-12-27 18:59:06"
"10",NULL,"C Rocafort",NULL,"C Rocafort",NULL,"DEMO","Eixample","BARCELONA",NULL,NULL,NULL,"41.377410238889","2.1559800277778","2017-12-27 18:59:06"
"11",NULL,"Rbla Poblenou",NULL,"Rbla Poblenou",NULL,"DEMO","Sant MartÃ­","BARCELONA",NULL,NULL,NULL,"41.404285002778","2.1973175","2017-12-27 18:59:06"
"12",NULL,"Trav GrÃ cia",NULL,"Trav GrÃ cia",NULL,"DEMO","SarriÃ -Sant Gervasi","BARCELONA",NULL,NULL,NULL,"41.396474991667","2.1499685555556","2017-12-27 18:59:06"
"13",NULL,"C Ã€vila",NULL,"C Ã€vila",NULL,"DEMO","Sant MartÃ­","BARCELONA",NULL,NULL,NULL,"41.396093036111","2.1967172222222","2017-12-27 18:59:06"
"14",NULL,"C Sant Pere d'Abanto",NULL,"C Sant Pere d'Abanto",NULL,"DEMO","Sants-MontjuÃ¯c","BARCELONA",NULL,NULL,NULL,"41.371841341667","2.1430527777778","2017-12-27 18:59:06"
"15",NULL,"C ValÃ¨ncia",NULL,"C ValÃ¨ncia",NULL,"DEMO","Eixample","BARCELONA",NULL,NULL,NULL,"41.383040227778","2.1503084166667","2017-12-27 18:59:06"
"16",NULL,"Pl Escultor Ramir Rocamora",NULL,"Pl Escultor Ramir Rocamora",NULL,"DEMO","Les Corts","BARCELONA",NULL,NULL,NULL,"41.394046358333","2.1064655","2017-12-27 18:59:06"
"17",NULL,"Pl Navas",NULL,"Pl Navas",NULL,"DEMO","Sants-MontjuÃ¯c","BARCELONA",NULL,NULL,NULL,"41.374273277778","2.1593732222222","2017-12-27 18:59:06"
"18",NULL,"C Gran de GrÃ cia",NULL,"C Gran de GrÃ cia",NULL,"DEMO","GrÃ cia","BARCELONA",NULL,NULL,NULL,"41.403248044444","2.1523279444444","2017-12-27 18:59:06"
"19",NULL,"C Escorial",NULL,"C Escorial",NULL,"DEMO","GrÃ cia","BARCELONA",NULL,NULL,NULL,"41.405903508333","2.1624752222222","2017-12-27 18:59:06"
"20",NULL,"C Scala Dei",NULL,"C Scala Dei",NULL,"DEMO","Horta-GuinardÃ³","BARCELONA",NULL,NULL,NULL,"41.439899133333","2.1553316388889","2017-12-27 18:59:06"
"21",NULL,"Av Joan XXIII",NULL,"Av Joan XXIII",NULL,"DEMO","Les Corts","BARCELONA",NULL,NULL,NULL,"41.383914216667","2.1217461111111","2017-12-27 18:59:06"
"22",NULL,"C Quatre Camins",NULL,"C Quatre Camins",NULL,"DEMO","SarriÃ -Sant Gervasi","BARCELONA",NULL,NULL,NULL,"41.412760061111","2.1313874166667","2017-12-27 18:59:06"
